Year,Round,College,College Code,Branch,Category,Closing Rank
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,2AK,69922
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,2BG,92635
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,3AG,70686
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,3BG,62771
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,3BK,57168
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,GM,66049
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,1K,65009
2024,3rd,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,3BR,66049
2024,2nd,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,2BR,57168
2024,2nd,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,3AR,62771
2023,1st,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,2BK,53438
2023,1st,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,GMK,52995
2023,1st,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,AD ARTIFICIAL,3AK,58233
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,ARTIFICIAL INTELLIGENCE,2BG,92864
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,ARTIFICIAL INTELLIGENCE,3AG,72464
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,ARTIFICIAL INTELLIGENCE,3BG,70832
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,ARTIFICIAL INTELLIGENCE,GM,66740
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,ARTIFICIAL INTELLIGENCE,1K,90639
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,ARTIFICIAL INTELLIGENCE,2AK,86294
2023,1st,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,ARTIFICIAL INTELLIGENCE,3AK,52600
2023,1st,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,ARTIFICIAL INTELLIGENCE,3BK,50099
2023,1st,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,ARTIFICIAL INTELLIGENCE,GMK,54331
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,CIVIL ENGINEERING,3BR,145770
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,CIVIL ENGINEERING,GMK,75207
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,CIVIL ENGINEERING,1K,76323
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,CIVIL ENGINEERING,2AK,76196
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,CIVIL ENGINEERING,2BK,81619
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,CIVIL ENGINEERING,3BG,70782
2024,3rd,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,CIVIL ENGINEERING,3BK,143380
2023,1st,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,CIVIL ENGINEERING,2BR,56659
2023,1st,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,CIVIL ENGINEERING,3AR,50422
2022,Round 2022,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,CIVIL ENGINEERING,GMR,174073
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,COMPUTER SCIENCE AND ENGINEERING,3BK,45664
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,COMPUTER SCIENCE AND ENGINEERING,3BR,82685
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,COMPUTER SCIENCE AND ENGINEERING,GM,137550
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,COMPUTER SCIENCE AND ENGINEERING,2AK,99708
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,COMPUTER SCIENCE AND ENGINEERING,2BK,68903
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,COMPUTER SCIENCE AND ENGINEERING,2BR,94256
2024,Round 2024,A J INSTITUTE OF ENGINEERING AND TECHNOLOGY,E254,COMPUTER SCIENCE AND ENGINEERING,3AK,60708
