"ENGINEERING CUTOFF RANK OF CET-2015 - (ROUND-3 ALLOTMENT) ( General ) 21-07-2015"
"1     E001   University Visveswariah College of Engineering          Bangalore"
"1G    1K    1R       2AG  2AK    2AR  2BG   2BK   2BR    3AG  3AK   3AR    3BG  3BK  3BR    GM   GMK   GMR   SCG   SCK   SCR   STG  STK   STR"
"CE   Civil           16912   --    --     15571 17227 19277 20233   --  37642 13549   --  16205 14388  --  16250 11382 13047 15354 23135 36922 32266 22235  --  24221"
"CS   Computers        7146   --  12966     7129   --   8704 8882    --    --   3690   --    --   5086  --    --   2801 6316 6402 23300     --  34820 9980 14821   --"
"EC   Electronics      6859   --  13683     5911   --   6665 6922    --    --   3474 14374   --   3849  --    --   3345 5514 5744 15170     --  19281 12676  --  13566"
"EE   Electrical      10923   --    --     12791 14471 17383 17131   --    --   8294   --    --   9791  --  13992 7871 10750 13130 25528 28716 36226 15922   --    --"
"IE   Info.Science    12482 17075   --     10102 --    10651 10740 16104 20551 6913    --  11674 6537   --    --   4689 7308 9235 26309     --  42753 21075  --    --"
"ME   Mechanical      11224   --  13881    10399 11298 12395 14047   --    --   8062   --    --   6410 9898 10272 5774 8425 10045 24178 27513 31402 12847    --    --"
"2     E002   S K S J T Institute of Engineering.        Bangalore"
"1G    1K     1R     2AG   2AK   2AR   2BG         2BK    2BR     3AG    3AK    3AR     3BG   3BK   3BR    GM   GMK           GMR      SCG  SCK      SCR   STG     STK    STR"
"CE   Civil           28681   --     --    27737 28654 28833 31424        --      --    23959   --    27591   23828   --    --  22272 22390         25555   31880 32711   45707 25135     --    29128"
"CS   Computers       24012   --     --    19270 --    27760 22440        --    97399   20263   --      --    19441 24896 28482 16263 19768         23611   33550   --    42888 26725     --      --"
"EC   Electronics     22474   --   24337   20517 36863 20880 15714        --      --    15106   --      --    17579   --  19421 13667 15127         18657   35659 48005   48299 24030     --      --"
"ST   Silk Tech.      87001   --     --    91464 --      --    --         --      --      --    --      --    74366   --    --  55011 65526         67658   75629   --    111409 72869    --      --"
"TX   Textiles          --    --     --    69958 -- 102216 82741          --      --    61478   --      --    58990   --    --  58432 71935         75388   111775 --       --   66838    --      --"
"3     E003   B M S College of Engineering    Basavanagudi,Bangalore"
"1G    1K     1R      2AG   2AK      2AR     2BG   2BK    2BR    3AG     3AK     3AR     3BG   3BK    3BR   GM         GMK     GMR    SCG   SCK   SCR   STG  STK          STR"
"CE Civil              7703   --   10271    8337   --     11085    7795   --      --   7327     --      --     8344   --     --   5524       8568    8355   17825 38086 27052 11372  --          --"
"EC Electronics        2877   --     --     2951   --      3960    2555   --      --    976     --     2508    1868   --    4314   791       1193    2375   12873   --  14054 3684 19080         --"
"EE Electrical         8977   --     --     6998   --      8464    6256   --    10856 3936      --      --     3210   --    7790 2569        6570    6727   16059 33243 28429 9582   --          --"
